consumption_normalized,production_normalized,static_capacity_log,baseline_in,lag_96,input_temperature,input_insolation,input_windSpeed,timeOfDay_sin,timeOfDay_cos,dayOfYear_sin,dayOfYear_cos,dayOfWeek_sin,dayOfWeek_cos,avg_consumption_in,max_consumption_in,std_consumption_in,prod_std_dev_1h,prod_std_dev_4h,rolling_std_dev_1h,rolling_std_dev_4h,insolation_std_dev_1h,insolation_std_dev_4h,insolation_diff_1,insolation_diff_4,temperature_diff_1,temperature_diff_4,holiday,daylight,correction
0.674507123,0.334200998,1.687754186,0.705050049,0.778420573,12.51308874,289.2635162,5.784831934,0.092860632,-0.067380488,-0.186390398,0.772363544,-0.733580152,-0.579785614,0.416885512,0.763688334,0.002566813,0.053855381,0.101354089,0.020590209,0.049955709,13.82199386,47.64462757,51.85907028,87.21531057,0.800701948,0.928502476,0,1,0
0.579260355,0.387963792,3.166757705,0.450164596,0.415858828,31.07345576,286.4394157,3.982072749,0.934070551,-0.848600545,-0.343533789,0.868608228,0.264792513,0.484542785,0.477155617,0.599254314,0.090841393,0.062116661,0.063474738,0.024744604,0.075801384,33.80778071,31.84758585,-45.52433518,32.40364427,2.059845002,1.218271038,0,0,0
0.697153281,0.649458721,3.16010961,0.64843224,0.68961001,19.90974952,690.0615184,4.948851376,-0.896662557,-0.22434782,-0.092020178,0.832841089,-0.743348276,-0.94960181,0.392441199,0.761165306,0.055905599,0.057228731,0.071688136,0.034482504,0.029554689,21.82591866,73.87100552,-12.20141761,82.41028969,0.558723837,1.144890612,0,0,0
0.828454478,0.622074053,2.923442899,0.528601116,0.705175911,22.34877786,842.1226745,1.46184819,0.009591197,0.607075319,0.524893917,0.270828714,0.156985016,-0.290336289,0.591393031,0.769438089,0.034470017,0.045026333,0.00661263,0.051579281,0.070470467,33.21291471,63.1507128,14.73596265,-16.41494127,-0.156477376,0.79409334,0,0,0
0.564876994,0.495819681,3.081845333,0.545053629,0.555365474,21.62881269,479.1101563,3.610573738,0.436907895,0.803548057,-0.747995944,0.259641309,0.386844256,0.560425297,0.584967954,0.863366102,0.053142558,0.035373981,0.024061007,0.037178375,0.127008053,5.963313989,64.46233826,34.66088008,120.193167,0.342926377,1.863331934,0,0,0
0.564879456,0.523465477,2.62817333,0.617481949,0.806356022,26.73473857,466.2356554,4.181435124,0.725280942,-0.593054515,-0.607161568,-0.193578734,0.401222993,0.127785842,0.567330379,0.730180033,0.053523796,0.028471608,0.086612393,0.063181087,0.100691697,43.92455941,45.41832946,-101.3838636,0.878844263,1.243469128,0.790747362,0,0,0
0.836881922,0.755532979,1.755397177,0.437727798,0.577491662,16.81021559,514.0104326,3.951823204,-0.641488776,-0.866052776,0.902889651,0.504795765,0.506944221,-0.477675135,0.495742231,0.967867467,0.036663026,0.069420694,0.068603223,0.070537892,0.119306245,36.72293408,24.06225666,-44.30201235,5.786404743,-0.779375325,-0.625354339,0,0,0
0.715115209,0.381685722,2.037087981,0.588240975,0.618836468,2.03168052,732.3756605,5.304709744,0.600006964,0.754700906,-0.649016745,0.062588037,0.745718843,0.389906239,0.482776625,0.608835945,0.053958333,0.026010096,0.055583842,0.061991551,0.081733836,14.99523451,79.29376074,-16.62896899,-26.55926333,-0.651888583,-1.59197782,0,0,0
0.529578842,0.609419476,1.54479315,0.566645221,0.574039226,18.99687952,314.5293732,3.355160135,0.105414151,-0.221190122,0.135454636,0.354876142,-8.20E-05,0.134781888,0.646436986,0.93111675,0.037850554,0.019258679,0.076945271,0.082375753,0.105025295,15.21222876,49.08353738,35.15700986,68.44504776,-0.308960015,-0.497947311,0,1,1
0.681384007,0.45956147,3.725351684,0.599245126,0.602336857,8.486431062,547.6737965,7.242061335,-0.206892636,0.083521929,0.158628933,-0.143084192,0.460498379,0.592487219,0.544944807,0.777568103,0.04191276,0.053307379,0.109073934,0.058316533,0.048281058,46.72265904,38.76800306,124.9215242,-42.11988166,-2.104582799,0.628258993,0,0,0
0.530487346,0.456463759,2.750175384,0.578916864,0.435558737,9.713833183,695.039526,5.00041413,-0.736569943,0.936131624,-0.020751076,0.462992928,0.238345471,0.470050372,0.631635832,0.885958487,0.036274417,0.024077264,0.053368726,0.025662066,0.050669792,22.62620097,56.25202362,-11.40028634,97.64313772,0.138078408,-0.632165922,0,1,0
0.530140537,0.71975537,2.20255425,0.795530014,0.383992368,20.86364019,600.218834,4.981399358,0.730591518,-0.866870544,0.289490497,0.648943035,-0.62672012,0.220215844,0.511475131,0.807980148,0.021346574,0.02099873,0.062081094,0.07726753,0.012174206,21.65815151,67.50681182,-70.34887311,-113.2149141,-1.886128704,0.628677366,1,0,0
0.636294341,0.66508327,2.386017411,0.486226002,0.839175759,27.38283071,537.9163233,4.344210567,-0.685453584,0.296636015,-0.540346548,-0.707127487,-0.94862071,-0.023644649,0.618106274,0.913955554,0.052916729,0.011127915,0.065777908,0.037896875,0.105584364,7.339479059,49.65424166,20.11340386,-109.8916255,0.053059313,0.878300267,1,1,0
0.313007963,0.662701927,3.841850019,0.496900304,0.472955798,15.21271577,700.2092185,5.310381368,-0.380424282,-0.851789155,0.105324536,0.665859431,-0.430917229,-0.733635749,0.730327804,0.761263804,0.061705989,0.030341803,0.131763289,0.06820837,0.116209719,26.49221794,69.17862752,66.04978948,68.74267551,0.865289756,1.666358863,0,1,0
0.341262325,0.761095761,1.460054209,0.487685947,0.451291148,18.08833013,0,6.650196529,-0.419908936,-0.249062143,-0.25565349,0.080593064,-0.113932587,-0.477333964,0.65861658,0.690137957,0.060297672,0.0383457,0.002980688,0.081474684,0.053404683,27.72280385,66.24499908,5.400706049,-8.854421458,-0.476876461,2.565589938,0,1,0
0.515656871,0.504200768,2.758689496,0.494452288,0.276991483,32.02214945,635.5750639,3.265739569,0.742828068,0.60762909,0.323334519,0.689331818,0.234211889,-0.161801054,0.558758618,0.942050429,0.066398505,0.044861835,0.08049669,0.05913376,0.062381449,37.15493097,33.85428219,-45.33242726,-45.38914162,1.67711587,0.156014837,0,1,0
0.448075332,0.636390594,2.517666037,0.486261287,0.504155738,17.40753179,369.1848634,3.683767022,0.345405988,-0.133055534,-0.717552913,-0.137396587,0.699918661,0.198598574,0.625719897,0.788651935,0.056486804,0.059026125,0.056555933,0.020076824,0.047384137,16.00921572,39.89314842,47.89969707,89.00577325,-1.460500899,-2.61555313,0,0,0
0.6471371,0.437946649,2.834362706,0.668901653,0.401536531,41.01683114,133.8734206,4.392547942,0.593362794,0.994364708,0.141754834,-0.241919029,-0.607508567,0.02741571,0.575933483,0.822155847,0.03934549,0.050537958,0.077003152,0.031635757,0.081479607,14.79713208,64.36305745,33.17728092,-60.72614141,1.191260682,-0.690208194,0,1,0
0.463796389,0.56483327,1.054330551,0.692050425,0.846302274,20.65509646,602.2405199,2.308258153,-0.499064202,0.11811857,-0.629459289,0.830121465,-0.74890042,-0.423630948,0.600788018,0.923475191,0.066793277,0.036182556,0.040278823,0.076454889,0.103747976,34.50962635,9.310811543,-51.30404221,-20.02012543,0.675137056,0.088125135,0,1,0
0.388154445,0.473971389,3.616371727,0.492925371,0.751472563,-2.607627592,774.731709,3.361484281,0.249748199,-0.357675695,-0.442713874,-0.497661465,0.926959895,-0.987071284,0.567438895,0.696804476,0.022849649,0.036036086,0.058531049,0.046617546,0.017716841,40.06730071,47.7581646,19.07128088,139.922795,-1.716033248,-3.671537512,0,1,0
0.819847315,0.519399193,3.796354847,0.466764443,0.496777448,22.53341621,472.5102971,4.047558253,0.143491966,-0.559777348,-0.562580399,0.688424651,-0.783910881,-0.007521556,0.583566479,0.85954909,0.031986572,0.050203149,0.081342317,0.051591471,0.082283156,14.28847649,28.53753198,49.86327838,153.9142346,2.710794299,2.77732904,0,1,0
0.566133555,0.619031405,2.695399551,0.597141556,0.937865371,18.81158385,690.5749094,6.748778361,0.665660754,-0.298958931,-0.63432444,-0.031958855,-0.04301786,-0.428748023,0.621209335,0.741010524,0.030715999,0.065451403,0.153387306,0.065176488,0.061699847,40.81514086,42.85169298,59.09450213,157.239821,-0.063745286,0.284755825,0,0,0
0.610129231,0.336355863,3.089952472,0.494777696,0.747264823,27.89752754,822.4556516,5.525122658,0.812174121,-0.254933452,0.651421903,0.028190885,0.171127458,0.469216601,0.50066413,0.786783064,0.071601121,0.042526284,0.084241086,0.063926457,0.073401832,30.37541841,45.51769866,-3.322448765,-28.21257769,-0.877484022,0.762705669,0,1,0
0.386287772,0.918477455,3.767498144,0.613293182,0.551275292,21.73181351,762.9828907,5.387179823,-0.975686457,-0.862572645,-0.428584865,-0.383063437,0.082748842,-0.952107469,0.498412117,0.807227897,0.06885577,0.030617383,0.034558032,0.055575996,0.08376982,40.91805339,44.62633433,-17.90397231,123.0702905,-1.407087195,2.731052925,0,0,0
0.518342591,0.298796524,3.121715903,0.570292302,0.225089143,13.61544016,827.9929059,6.701795924,0.348039838,-0.260851601,0.854247564,0.146084401,-0.827935686,0.169655623,0.461145745,0.649977814,0.059746105,0.02014268,0.04728721,0.045826633,0.064353927,29.29779638,41.71608122,61.3636911,-94.89528278,-0.220018028,-1.26028566,0,1,0
0.616638388,0.257162277,1.457617129,0.398425589,0.943641386,2.757017637,648.4254982,4.725256423,-0.896328402,-0.071522961,0.939853051,-0.349577607,-0.885946172,0.882948475,0.43997289,0.722116296,0.071438597,0.011095895,0.046397577,0.043746631,0.066892394,4.777220825,33.54284526,-60.50802515,-90.69028747,-0.127406872,1.148083862,0,0,0
0.427350963,0.731622175,2.728865081,0.70475052,0.39156413,12.90976743,515.0867278,5.7809297,0.09771733,0.445475504,0.14252094,-0.921461172,-0.789033145,-0.651181466,0.478271731,0.935107289,0.032414344,0.053325393,0.006130705,0.067157977,0.063583745,28.48032618,84.378669,21.92896455,-235.0455853,0.102645529,-0.219728246,0,1,0
0.656354703,0.658332539,2.820145139,0.729587767,0.353190188,6.494795458,179.6068376,4.793556494,-0.424734542,0.313458969,-0.713997755,-0.456002789,0.171175368,-0.056701018,0.615946251,0.888619119,0.056971902,0.05155957,0.050097294,0.061071391,0.099109486,40.60143819,78.01193006,-68.50133137,167.2868202,-0.297796156,-0.368173734,0,0,0
0.509904197,0.624823963,2.272392014,0.488721131,0.753385565,9.194765502,450.7875024,5.530724699,-0.386446801,0.41753131,-0.250903513,-0.987241913,0.088689775,-0.817156016,0.510721248,0.793736042,0.047496511,0.051547271,0.081984872,0.044854,0.082562799,21.06253981,32.5690127,53.26881361,-86.39798491,0.63322531,-1.544384776,1,0,0
